geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database
R-HSA-69190	DNA strand elongation	http://reactome.org/PathwayBrowser/#/R-HSA-69190	31	18	4.2629171151776095	4.222460703238433	9.757624486184113e-9	2.4989276309117514e-5	1763;2237;3978;4171;4172;4173;4175;4176;5111;51659;5424;5425;5983;5984;64785;8318;84515;9837	pathway_Reactome
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	293	75	40.29144241119483	1.8614374544993089	3.408609672295171e-8	4.364724685373966e-5	10516;10753;1215;1277;1278;1280;1282;1287;1289;1294;1295;1299;1300;1301;1404;1511;1515;1520;1634;1756;2192;2202;2247;26577;284217;3381;340267;3680;3693;3696;375790;3918;4148;4237;4239;4312;4314;4316;4319;4320;4321;4322;4323;4680;4684;4921;50509;55214;58494;633;64175;650;652;655;6696;7057;7076;7177;7373;7837;8038;8076;81578;827;83700;85301;871;8728;8985;92291;9378;9509;9510;960;961	pathway_Reactome
R-HSA-176974	Unwinding of DNA	http://reactome.org/PathwayBrowser/#/R-HSA-176974	12	10	1.65016146393972	6.060013046314417	1.1932874999232013e-7	8.251529489911036e-5	4171;4172;4173;4175;4176;51659;64785;8318;84515;9837	pathway_Reactome
R-HSA-69278	Cell Cycle, Mitotic	http://reactome.org/PathwayBrowser/#/R-HSA-69278	491	109	67.51910656620021	1.6143578542931278	1.2887980460618564e-7	8.251529489911036e-5	10112;1019;10213;1029;1030;1062;1063;10783;10926;11004;11065;113130;1163;147841;151246;151648;157570;1763;1869;1876;2010;220134;2237;22974;2305;23225;23310;23354;23397;23594;23636;2491;286826;332;3978;4171;4172;4173;4175;4176;4605;4609;4751;5111;51512;51659;5347;5424;5425;5427;54801;54820;54821;54892;55143;55388;55559;5577;5579;55835;55839;55920;5688;57405;5753;5905;5933;595;5983;5984;6233;6241;64151;64785;6502;6714;6790;699;701;7153;7283;7514;79172;79682;79861;79866;79980;81620;81930;8318;8341;83540;84515;8480;84962;890;891;898;9212;9232;9493;9631;9700;983;9837;990;991;993;994	pathway_Reactome
WP2363	Gastric Cancer Network 2	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2363&label[]=UBE2C&label[]=COL9A3&label[]=EGFR&label[]=ATAD2&label[]=UBE2T&label[]=MYC&label[]=PLAC8&label[]=FANCI&label[]=BRIX1&label[]=RFC3&label[]=RFC4&label[]=CHTF18&label[]=TOP2A&label[]=DSCC1&label[]=LMNB2&label[]=CD48&colors=steelblue	29	16	3.98789020452099	4.012146568594372	1.750031786151851e-7	8.963662808669783e-5	11065;5983;79075;63922;84823;29089;4609;29028;1299;1956;7153;55299;962;55215;5984;51316	pathway_Wikipathway
R-HSA-1640170	Cell Cycle	http://reactome.org/PathwayBrowser/#/R-HSA-1640170	593	125	81.54547900968782	1.5328869425753162	3.2291293661224074e-7	1.3783000511065807e-4	10112;1019;10213;1029;1030;1062;1063;10783;10926;11004;11065;1111;113130;116028;1163;147841;151246;151648;157570;1763;1869;1876;2010;220134;2237;22974;2305;23225;23310;23345;23354;23397;23594;23636;2491;286826;332;387103;3978;4171;4172;4173;4175;4176;4361;4605;4609;4751;4869;5111;51512;51659;5347;5424;5425;5427;54801;54820;54821;54892;55143;55355;55388;55559;5577;5579;55835;55839;55920;5688;57405;5753;5905;5933;595;5983;5984;6233;6241;641;64151;64785;6502;65057;6714;672;675;6790;699;701;7153;7283;7468;7514;7529;79172;79682;79861;79866;79980;81620;81930;8318;8341;83540;84057;84515;8480;84962;8607;890;891;898;9156;9212;9232;9493;9631;9700;983;9837;990;991;993;994	pathway_Reactome
WP2446	Retinoblastoma Gene in Cancer	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2446&label[]=CDK4&label[]=CHEK1&label[]=DNMT1&label[]=E2F1&label[]=FANCG&label[]=KIF4A&label[]=MCM3&label[]=MCM4&label[]=MCM6&label[]=MCM7&label[]=MYC&label[]=PCNA&label[]=POLE2&label[]=ANLN&label[]=CCND1&label[]=RFC3&label[]=RFC4&label[]=RRM2&label[]=SKP2&label[]=SUV39H1&label[]=TOP2A&label[]=TTK&label[]=CDT1&label[]=CDC45&label[]=CCNA2&label[]=CCNB1&label[]=CCNE1&label[]=CDK1&label[]=CDC25A&label[]=CDC25B&colors=steelblue	87	30	11.96367061356297	2.507591605371483	7.506638008969446e-7	2.746357134424393e-4	4172;4173;4175;4176;5983;24137;1019;595;4609;993;994;2189;6502;6241;5111;6839;1786;54443;5984;5427;1869;890;891;898;1111;7153;7272;983;81620;8318	pathway_Wikipathway
hsa05206	MicroRNAs in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05206+1029+113130+1786+1789+1869+1944+1956+2146+23414+27165+3265+406902+407040+4233+4363+4609+4854+5159+5243+5268+5296+5328+5335+5336+54541+5579+595+596+6541+6624+6659+672+7057+7168+7422+7431+8434+898+9493+960+9839+993+994	149	43	20.48950484391819	2.0986353905357307	1.0023461378683152e-6	3.208760573850944e-4	1029;113130;1786;1789;1869;1944;1956;2146;23414;27165;3265;406902;407040;4233;4363;4609;4854;5159;5243;5268;5296;5328;5335;5336;54541;5579;595;596;6541;6624;6659;672;7057;7168;7422;7431;8434;898;9493;960;9839;993;994	pathway_KEGG
WP2361	Gastric Cancer Network 1	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2361&label[]=CENPF&label[]=UBE2C&label[]=ESM1&label[]=E2F7&label[]=ECT2&label[]=TPX2&label[]=LIN9&label[]=MCM4&label[]=MYBL2&label[]=KIF15&label[]=S100P&label[]=AURKA&label[]=TOP2A&label[]=RUVBL1&colors=steelblue	26	14	3.57534983853606	3.9157007376185464	1.5563417217201447e-6	4.428656832583656e-4	6790;4173;11082;11065;1063;286826;22974;144455;56992;1894;4605;8607;7153;6286	pathway_Wikipathway
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	89	29	12.23869752421959	2.369533191143165	4.219737440358529e-6	9.937229545962907e-4	1277;1278;1280;1282;1287;1289;1294;1295;1299;1300;1301;1515;1520;26577;340267;3918;4314;4316;4322;50509;55214;64175;7373;7837;81578;85301;871;8985;9509	pathway_Reactome
