,gene,logFC,p_value,p_value_adj
0,0,0.030365997562566374,0.8069875440347121,0.9697855727962227
1,1,-0.3229957910217479,0.0017890475721918748,0.06107470619264115
2,2,0.15820648719133773,0.16998640288087452,0.8265574125996541
3,3,-0.03669362811607542,0.780913306026892,0.9652718607469625
4,4,-0.13322980323181188,0.3266608785379388,0.938229897623349
5,5,0.26429763780677434,0.1121002214038138,0.7197414107394813
6,6,-0.015940443617646072,0.8930942549410057,0.9795243493727823
7,7,-0.01751537988071189,0.9097369347198566,0.9833619221851447
8,8,-0.7758966816481505,4.152713342775687e-05,0.0032436013377752336
9,9,-0.29737143498398966,0.023289287200031906,0.3239101931303583
10,10,-0.9149132898705611,3.2828443450743e-05,0.0027278341075006748
11,11,-0.006621899920463914,0.9523773483733251,0.9924790522833771
12,12,0.11409080426822846,0.32949247187432784,0.9382577705847408
13,13,0.7902101964269427,0.01300395422616065,0.22280131128158429
14,14,0.13983161345498657,0.15693822321388606,0.8049731244280413
15,15,0.11313145705774352,0.3531287855651035,0.9471062143054727
16,16,0.15281828847496734,0.2840292527877546,0.9260494098798683
17,17,2.042809190378064,7.00289336428855e-21,1.3674549872446253e-16
18,18,-0.07813607212670419,0.485154550808752,0.9524468553832373
19,19,0.16308642003940982,0.23320320232625402,0.8848973982400569
20,20,0.07229347922741486,0.5756755374809838,0.9524468553832373
21,21,0.07984613111401563,0.5921601127245184,0.9524468553832373
22,22,0.0012500878409640315,0.9898210415341321,0.998228591615334
23,23,0.06430122390537518,0.58078687697533,0.9524468553832373
24,24,0.030264087672677464,0.8165639414901091,0.971102786209704
25,25,0.1802027683753946,0.32831766773790305,0.9382577705847408
26,26,0.12063332842990995,0.3274449931827753,0.9382577705847408
27,27,0.07172277552951929,0.6457265410265971,0.9536347177730108
28,29,0.1261486425736947,0.2966435706444406,0.9275341974715318
29,30,0.3367832221994937,0.13570637475853894,0.7709293433423527
30,31,-0.5175367741488274,3.958552327173654e-05,0.003142221597265038
31,32,0.22743209247241594,0.2926570951782087,0.9274123819449661
32,33,6.203558013574695e-05,0.9997305501367983,0.9998841657714229
33,34,-0.03896674416149712,0.6908997889936563,0.959271912662054
34,36,0.06686677484386876,0.6855272134402017,0.9586379616447497
35,37,-0.15052017622497704,0.37434962574862385,0.951109746799463
36,38,0.1292258610395149,0.37883353471986625,0.9522846437306982
37,39,0.12425942414630338,0.41772711825204867,0.9524468553832373
38,40,0.7114048190488353,0.07523356852135,0.6035685671801156
39,41,0.0883302650354329,0.600179459479922,0.9524468553832373
40,42,0.07093286212359681,0.6865610748385707,0.9586379616447497
41,43,0.193639244062641,0.1320835925703109,0.763665591097576
42,44,0.056953822823969366,0.696283879695669,0.9606784524925541
43,45,-0.18634327246247082,0.10309150156530487,0.6936016316766378
44,46,0.10744047801945004,0.4824289222311663,0.9524468553832373
45,47,0.11479393379840658,0.4280196655207219,0.9524468553832373
46,48,-0.155073050474349,0.2874532105572024,0.9261170595610023
47,49,0.16554012949037866,0.36753529458761325,0.948216852004421
48,50,0.09132753356612676,0.4796853984432592,0.9524468553832373
49,51,0.11280948167990114,0.4336288009746708,0.9524468553832373
50,52,0.11347339973666384,0.46509632785160093,0.9524468553832373
51,53,0.03248191496628178,0.8095972615537037,0.9698856594527948
52,54,0.1973459272305527,0.3316602715788306,0.940023181623017
53,55,0.16046953567365344,0.374443646428409,0.951109746799463
54,56,0.0187555161718915,0.9062875761234104,0.9828283007593934
55,57,0.18457890189558596,0.314979683318544,0.9338299643828311
56,58,0.07226920901108087,0.5895365119042595,0.9524468553832373
57,59,0.06027375259520426,0.6066662629847995,0.9524468553832373
58,60,0.024571893381740872,0.7659129851457771,0.9650182991734162
59,61,0.015852889088987437,0.8874829111443455,0.9784258585092387
60,62,0.24462813211593937,0.17500012678868027,0.8341364145077231
61,63,0.09554632079378689,0.3505439748004161,0.9471062143054727
62,64,-0.024219955478172822,0.8297100785923289,0.9724678057849374
63,65,0.19433700400216486,0.14071891904949985,0.779390949002288
64,66,-0.025713704827964257,0.8050978611740578,0.9693028857194207
65,67,0.1396057592489443,0.3041471230002982,0.9295257069419698
66,68,0.015179578386220943,0.8920682607228214,0.9791927441180129
67,69,0.014435610562424372,0.9465152804380013,0.9917166543698364
68,70,0.0604608604667452,0.6060160711612064,0.9524468553832373
69,71,0.026153298790061716,0.8887420010081267,0.978529630041046
70,72,0.01189189897267745,0.9260852941972854,0.986295098103299
71,73,-0.0023496839962452165,0.9819681701529194,0.996969865087363
72,74,0.15509966180043241,0.25949089848312235,0.9089455560515204
73,75,0.11729389055239084,0.3879101299247576,0.9524468553832373
74,76,0.04493309986481889,0.7098914961228925,0.9610930692947681
75,77,0.020221332906663406,0.878823908477177,0.9776842262333879
76,78,-0.008195299481659896,0.9445801807340243,0.9912207388649238
77,79,-0.02760919928709847,0.7996758682273591,0.9685824561664407
78,80,0.007197783962573451,0.9570358761428367,0.9928526722238533
79,81,0.12608175217995482,0.4189554321144703,0.9524468553832373
80,82,0.25340255883306356,0.12033964029870119,0.7375928369504976
81,83,-0.0377253688463359,0.7569160630837817,0.9650182991734162
82,84,0.21841569640044384,0.288646585633488,0.9270085543838799
83,85,0.30148968120264885,0.060827226691477665,0.5493863346921759
84,86,0.09870459559383479,0.5851910739833218,0.9524468553832373
85,87,0.1977087735723016,0.2305777822522065,0.8848973982400569
86,88,0.029050027614056492,0.8286337059384455,0.9724678057849374
87,89,0.06167798645255933,0.7429548945607052,0.9637400545202838
88,90,0.1027924497465581,0.4165457846270124,0.9524468553832373
89,91,-0.04716948096371247,0.6581881762419104,0.9548463784601079
90,92,-0.10703058735780796,0.659916600406259,0.9549083984798451
91,93,-0.47853075886840857,0.0015647463932341747,0.05485601942672124
92,94,-0.035673418870145315,0.8209862877001608,0.9719889752778811
93,95,0.21355701960100185,0.2970477076009481,0.9275341974715318
94,96,0.4324848759163437,0.06461528045562953,0.5651346635469329
95,97,-0.06155195876784949,0.6911288505496731,0.959317107242214
96,98,-0.0011734624096821078,0.9922939868242314,0.9987284222592976
97,99,0.10224281752578188,0.4236539616374857,0.9524468553832373
98,100,0.07517796811384285,0.5752277030796643,0.9524468553832373
99,101,0.04382469028189201,0.627723031119642,0.9524468553832373
100,102,-0.10929493425618995,0.5261372909349751,0.9524468553832373
101,103,0.08606283186258644,0.4770822332614848,0.9524468553832373
102,104,-0.07344889847125191,0.5099323990201722,0.9524468553832373
103,105,0.03255872175732282,0.8464070749925694,0.9742449438909548
104,106,0.06880803034563904,0.7098812533183012,0.9610930692947681
105,107,0.11538945690706758,0.4340638868194482,0.9524468553832373
106,108,0.0072849914871901955,0.9528528524410684,0.9924978743061152
107,109,1.0877216876310516,0.05658813673859134,0.5294664811185784
108,110,0.14820524104887745,0.34121340255253074,0.9432310197930084
109,111,0.2635589268476317,0.12021640053695899,0.7375928369504976
110,112,0.1492674342569156,0.4589041395141926,0.9524468553832373
111,113,0.16128638491297606,0.324337058350358,0.9375688656901271
112,114,0.11649230282504516,0.3552628648416797,0.9472042965703193
113,115,-0.011657167832881205,0.9312541708632617,0.9872204231512981
114,116,0.14843932766870607,0.41423242439888586,0.9524468553832373
115,117,0.05153302657138585,0.7590669363469285,0.9650182991734162
116,118,0.06240859936761778,0.6756503618531335,0.9576533574886581
117,119,0.17728033022275014,0.2501704415513012,0.8983876299685037
118,120,0.6714367369452641,0.028236512840870153,0.3644245778213295
119,121,0.15654914574008444,0.36103545825146865,0.9472042965703193
120,122,-0.043930980875758814,0.7688732615445426,0.9650182991734162
121,123,0.1774570504293837,0.33009278926477414,0.9382577705847408
122,124,0.03460968844767595,0.8166255859245007,0.971102786209704
123,125,0.20174581079832932,0.3922881938731291,0.9524468553832373
124,126,-0.004675747540632271,0.982369720298548,0.997069892729491
125,127,0.08172351198552849,0.6261918038118388,0.9524468553832373
126,128,0.09851959750992242,0.4987398897551455,0.9524468553832373
127,129,0.049332212153767666,0.7145811585412956,0.9613477364464499
128,130,1.2359848746209978,0.00308380610637147,0.0900415110609368
129,131,0.016904215579108234,0.8807737580181244,0.9777516519028084
130,132,0.0768075976239268,0.5697845242424343,0.9524468553832373
131,133,0.05157606994588004,0.7166312712371816,0.9613477364464499
132,134,-0.018745458022737485,0.9048377681253712,0.9824168528320335
133,135,0.05892796605733268,0.6753107859416922,0.9576533574886581
134,136,0.15911238165311464,0.22173894369451985,0.8770783066439
135,137,0.07527626234196651,0.5874841258686885,0.9524468553832373
136,138,0.2546605260321503,0.06359376013643937,0.5609468280355568
137,139,-0.017262951792614292,0.9109927903458498,0.9837682224127873
138,140,0.04045334910362863,0.6903415312510044,0.9591105713794638
139,141,0.08782290459939365,0.5533722551464895,0.9524468553832373
140,142,0.08491549943899035,0.5984367591988158,0.9524468553832373
141,143,-0.1641556339773768,0.15576313647913415,0.8025294897171642
142,144,1.8897638769478973,0.0025197137152394565,0.07872391954796938
143,145,0.09315681831758829,0.45019428166111897,0.9524468553832373
144,146,0.09018136427834346,0.560288114351734,0.9524468553832373
145,147,0.10915241335200493,0.5049125768398159,0.9524468553832373
146,148,0.15165581224715524,0.3088201238797572,0.9322097211198984
147,149,0.11065911545633497,0.3518193518329098,0.9471062143054727
148,150,0.12393028745055566,0.5303726868085236,0.9524468553832373
149,151,0.13430543729715722,0.2535415633252047,0.9021330369991387
150,152,-0.019542316120550227,0.8631392602089094,0.9764772389702149
151,153,0.1467140272923687,0.37133131335882785,0.948893300648199
152,154,0.04279081481188976,0.7667123777087645,0.9650182991734162
153,155,-0.00031779260784545784,0.9989264853503362,0.999739627830833
154,156,0.0423449212592958,0.8173979975275872,0.971102786209704
155,157,-0.001568821203467602,0.9859747536815263,0.9973130802972889
156,158,0.143880494652476,0.3174164711567744,0.9347295177617756
157,159,0.29143013052783023,0.14616885022352463,0.7880284755148441
158,160,0.038705027328003766,0.7380274115918931,0.9633308763953541
159,161,0.5473053279523858,0.023650026823312742,0.3277601659182597
160,162,0.03641547900879477,0.7575998266182339,0.9650182991734162
161,163,-0.11050551130469223,0.4731566075961644,0.9524468553832373
162,164,0.03905624393241555,0.791692611009235,0.96734028995922
163,165,0.0027382518679804624,0.9798539580131612,0.9966978297714747
164,166,0.10418499686747866,0.42050242264079774,0.9524468553832373
165,167,0.38287573478676057,0.31586799712530056,0.9338992647466112
166,168,-0.027105532937170024,0.8493807526427029,0.9743598364443473
167,169,0.015170661540321873,0.8818876108822984,0.9777516519028084
168,170,0.11454967929423718,0.45473989014908267,0.9524468553832373
169,171,0.07309308884991816,0.5442735839071784,0.9524468553832373
170,172,-0.00382850688905631,0.9763874347463075,0.9961096276586879
171,173,-0.24681908727490406,0.1418695614320605,0.7818612247420268
172,174,0.03525488763843587,0.6926003361516199,0.9594623837770476
173,175,0.019212273429374427,0.8863374284641221,0.9780056633289411
174,176,0.8380397813591505,0.0010798098883015822,0.04193078462058272
175,178,0.19854926309083562,0.36749117197900527,0.948216852004421
176,179,0.0706660409853067,0.5803908076430757,0.9524468553832373
